Kreis,count,mean_zust,median_zust,mean_age
Stadt Kaufbeuren,10,2.2399999999999998,2.4,45.9
Heilbronn / Stadt,9,1.8111111111111111,1.2,23.0
Niedersachsen,5,2.12,2.2,19.4
Mecklenburg Vorpommern,3,2.1,2.1,25.333333333333332
Solingen,3,2.3333333333333335,2.2,41.333333333333336
Braunschweig (ehem. RegBez),2,2.1,2.1,13.5
NRW,2,2.3,2.3,15.0
Freiburg,2,2.35,2.35,38.5
Lüneburg (ehem. RegBez),1,2.3,2.3,21.0
Hannover (ehem. RegBez),1,2.0,2.0,23.0
Saarland,1,2.0,2.0,14.0
